name,category,classification,item_type,unit_of_measure,is_trackable,description,condition,quantity,serial_number,expiration_date
Copper Elbow 3/4,system_reprocess_replacement_compressor,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 26 pcs.,good,26,,
Copper Elbow 1/2,system_reprocess_replacement_compressor,consumable,tools,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 18 pcs.,good,18,,
"Tex Screw ""1",items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 70 pcs.,good,70,,
Cable Gland PG19,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 10 pcs.,good,10,,
Cable Gland PG16,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 18 pcs.,good,18,,
Cable Gland PG29,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 11 pcs.,good,11,,
"Circuit Breaker (TQC) 70A, 1P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (TQC) 60A, 1P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (TQC) 30A, 1P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 4 pcs.,good,4,,
"Circuit Breaker (TQC) 20A, 1P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 pcs.,good,2,,
"Circuit Breaker (TQC) 100A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (TQC) 70A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 5 pcs.,good,5,,
"Circuit Breaker (TQC) 30A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 4 pcs.,good,4,,
"Circuit Breaker (TQC) 40A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 pcs.,good,2,,
"Circuit Breaker (TQC) 20A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 9 pcs.,good,9,,
"Circuit Breaker (TQC) 100A, 3P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pcs.,good,1,,
"Circuit Breaker (TQC) 50A, 3P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 pcs.,good,2,,
"Circuit Breaker (TQC) 40A, 3P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (IC60N) 63A, 1P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 2 pcs.,good,2,,
"Circuit Breaker (IC60N) 63A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 1 pc.,good,1,,
"Circuit Breaker (IC60N) 50A, 2P",pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (PAPER). Source quantity: 4 pcs.,good,4,,
