name,category,classification,item_type,unit_of_measure,is_trackable,description,condition,quantity,serial_number,expiration_date
Circuit Breaker GE C32,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE C50,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 100A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 20A 1P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 30A 1P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 30A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 40A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 50A 1P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 50A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 50A 3P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 60A 1P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 60A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 70A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker GE TQC 70A 3P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Meiji ASN,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker SASSIN 3SB1 32A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker SASSIN 3SB1 20A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 100A 3P EZC 100H,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 20A 1P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 20A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 250A 3P EZC 250H,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 30A 1P EZC 100H,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 32A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 32A 3P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 40a 1,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 40A 1P EZC 100H,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 40A2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 40A 2P EZC100F,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 40 3P EZC 100H,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 40A 3P ICNC40,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 50A 1P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 50A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 60A 3P EZC100F,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 63A 1P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Schneider 63A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Siemens BQ Type 20A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Siemens BQ Type 20A 3P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Siemens BQ Type 30A 2P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Siemens BQ Type 30A 3P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Siemens BQ Type 40A 3P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker Siemens BQ Type 70A 3P,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker TECS EP10 C20,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Circuit Breaker WIN C32,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Coil Cleaner,system_reprocess_replacement_compressor,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Common Nail 1,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Common Nail 1 1/2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Common Nail 3,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Concrete Nail 3,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Conduit Hanger 3/4,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Concrete Nail 1/2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Concrete Nail 2 3/4,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Contractor SC-N3,pm_set_electrical,consumable,electronics,unit,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Coupling 1,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Coupling 11/4,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Coupling 3/4,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Coupling reducer 1 1/2 x 1 1/4,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Coupling reducer 11/4x4,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Coupling reducer 1 1/4 x 3/4,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Coupling reducer 2x1 1/4,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Cutting and welding tech,items_tools,consumable,tools,unit,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
